dataset,LogisticRegression()-HO,LogisticRegression()+HO,Perceptron()-HO,Perceptron()+HO,PassiveAggressiveClassifier()-HO,PassiveAggressiveClassifier()+HO,RidgeClassifier()-HO,RidgeClassifier()+HO,LinearDiscriminantAnalysis()-HO,LinearDiscriminantAnalysis()+HO,QuadraticDiscriminantAnalysis()-HO,QuadraticDiscriminantAnalysis()+HO,LinearSVC()-HO,LinearSVC()+HO,KNeighborsClassifier()-HO,KNeighborsClassifier()+HO,NearestCentroid()-HO,NearestCentroid()+HO,GaussianNB()-HO,GaussianNB()+HO,MultinomialNB()-HO,MultinomialNB()+HO,ComplementNB()-HO,ComplementNB()+HO,BernoulliNB()-HO,BernoulliNB()+HO,DecisionTreeClassifier()-HO,DecisionTreeClassifier()+HO,RandomForestClassifier()-HO,RandomForestClassifier()+HO,MLPWrapper()-HO,MLPWrapper()+HO
404.arff,0.875,0.625,0.625,0.5625,0.75,0.75,0.8125,0.875,0.6875,0.6875,0.75,0.875,0.75,0.75,0.625,0.6875,0.875,0.875,0.875,0.875,0.5625,0.5625,0.75,0.75,0.4375,0.4375,0.5,0.5,0.75,0.5,0.875,0.8125
405.arff,0.666666667,0.666666667,0.5,0.5,0.833333333,0.666666667,0.75,0.666666667,0.75,0.75,0.666666667,0.666666667,0.666666667,0.75,0.666666667,0.666666667,0.75,0.833333333,0.666666667,0.666666667,0.583333333,0.583333333,0.833333333,0.833333333,0.5,0.5,0.75,0.75,0.916666667,0.75,0.666666667,0.666666667
407.arff,0.733333333,0.8,0.733333333,0.733333333,0.4,0.733333333,0.866666667,0.666666667,0.8,0.8,0.666666667,0.733333333,0.733333333,0.8,0.6,0.6,0.666666667,0.733333333,0.733333333,0.733333333,0.666666667,0.666666667,0.4,0.4,0.6,0.6,0.666666667,0.6,0.733333333,0.666666667,0.666666667,0.533333333
408.arff,0.727272727,0.818181818,0.636363636,0.681818182,0.454545455,0.863636364,0.772727273,0.772727273,0.818181818,0.818181818,0.727272727,0.727272727,0.863636364,0.863636364,0.772727273,0.636363636,0.772727273,0.772727273,0.818181818,0.818181818,0.590909091,0.590909091,0.545454545,0.545454545,0.590909091,0.590909091,0.636363636,0.409090909,0.863636364,0.772727273,0.818181818,0.772727273
409.arff,0.727272727,1,1,1,1,1,1,1,1,1,1,1,1,1,0.727272727,0.727272727,0.545454545,0.727272727,0.909090909,0.909090909,0.909090909,0.909090909,0.818181818,0.818181818,1,1,1,0.909090909,1,0.909090909,0.909090909,1
410.arff,0.75,0.666666667,0.666666667,0.666666667,0.75,0.75,0.75,0.583333333,0.75,0.75,0.666666667,0.666666667,0.75,0.75,0.75,0.583333333,0.75,0.75,0.75,0.75,0.666666667,0.666666667,0.75,0.75,0.583333333,0.583333333,0.666666667,0.666666667,0.666666667,0.666666667,0.75,0.416666667
411.arff,0.782608696,0.782608696,0.652173913,0.826086957,0.782608696,0.782608696,0.782608696,0.782608696,0.782608696,0.782608696,0.695652174,0.739130435,0.826086957,0.782608696,0.826086957,0.826086957,0.52173913,0.739130435,0.782608696,0.782608696,0.782608696,0.782608696,0.652173913,0.652173913,0.782608696,0.782608696,0.739130435,0.782608696,0.869565217,0.782608696,0.826086957,0.739130435
412.arff,0.666666667,1,0.833333333,1,0.944444444,1,1,1,0.944444444,0.944444444,1,1,1,1,0.722222222,0.777777778,0.777777778,0.833333333,1,1,0.555555556,0.555555556,0.833333333,0.833333333,0.611111111,0.611111111,1,1,1,1,0.722222222,0.833333333
413.arff,0.75,0.8125,0.75,0.75,0.6875,0.8125,0.75,0.75,0.75,0.75,0.8125,0.75,0.75,0.6875,0.6875,0.5625,0.75,0.75,0.8125,0.75,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.5625,0.3125,0.5625,0.6875,0.75,0.75
415.arff,0.44,0.48,0.4,0.48,0.52,0.56,0.48,0.48,0.48,0.48,0.56,0.52,0.48,0.48,0.36,0.32,0.48,0.48,0.6,0.6,0.52,0.52,0.44,0.44,0.52,0.52,0.52,0.56,0.4,0.56,0.48,0.56
