dataset,leaves,leaves_branch.mean,leaves_branch.sd,leaves_corrob.mean,leaves_corrob.sd,leaves_homo.mean,leaves_homo.sd,leaves_per_class.mean,leaves_per_class.sd,nodes,nodes_per_attr,nodes_per_inst,nodes_per_level.mean,nodes_per_level.sd,nodes_repeated.mean,nodes_repeated.sd,tree_depth.mean,tree_depth.sd,tree_imbalance.mean,tree_imbalance.sd,tree_shape.mean,tree_shape.sd,var_importance.mean,var_importance.sd
54,42.0,7.071428571428571,2.4133051634318217,0.0238095238095238,0.0514039389914505,2011.6484848484847,3238.6808936096595,0.5,0.101015254455221,41.0,5.857142857142857,0.2515337423312883,3.4166666666666665,1.928651593652148,8.2,5.890670590009257,6.168674698795181,2.654123699528872,0.0794599764981148,0.0863373058939709,0.0966215587797619,0.1086278083798701,0.1428571428571428,0.1786653158773084
55,13.0,4.153846153846154,1.214231845389905,0.0769230769230769,0.1846239091270043,66.53333333333333,37.38765888681768,0.5,0.054392829322042,12.0,0.1428571428571428,0.0133630289532293,2.0,0.8944271909999159,1.3333333333333333,0.5,3.36,1.5513435037626797,0.1656089444360014,0.1043143386492982,0.2524038461538461,0.1239943521253059,0.0119047619047619,0.0555216632198927
56,13.0,4.153846153846154,1.214231845389905,0.0769230769230769,0.1846239091270043,66.53333333333333,37.38765888681768,0.5,0.054392829322042,12.0,0.1428571428571428,0.0133630289532293,2.0,0.8944271909999159,1.3333333333333333,0.5,3.36,1.5513435037626797,0.1656089444360014,0.1043143386492982,0.2524038461538461,0.1239943521253059,0.0119047619047619,0.0557792459149086
58,96.0,10.739583333333334,3.864125942337493,0.0104166666666666,0.0448487029148361,115438.0877135936,256059.19455227483,0.5,0.1031197389230381,95.0,2.065217391304348,0.1699463327370304,5.277777777777778,2.761192316108378,4.75,10.104063799440198,9.801047120418849,4.026517229943408,0.0512245748176844,0.0788713720758899,0.0424730777740478,0.0862023763767357,0.0217391304347826,0.0748314770611045
59,17.0,5.411764705882353,1.839117435395704,0.0588235294117647,0.2066836960302116,197.3904761904762,158.80806624589917,0.5,0.2079725827019257,16.0,0.3478260869565217,0.0286225402504472,2.0,0.9258200997725514,2.2857142857142856,1.976047040118708,4.606060606060606,2.030076875690209,0.1159084965628093,0.117683763472748,0.158547794117647,0.1299309622299544,0.0217391304347826,0.1032690834684895
60,27.0,6.37037037037037,1.842827011960536,0.037037037037037,0.1480184823837333,512.8825396825397,392.0032474582216,0.5,0.130945700219731,26.0,0.5652173913043478,0.0465116279069767,2.888888888888889,1.8333333333333333,2.6,3.373096170846272,5.509433962264151,2.090478795997867,0.1025797963723439,0.1090662951752676,0.1074942129629629,0.1151012226275131,0.0217391304347826,0.0862161996124354
61,2.0,1.0,0.0,0.5,0.6742180936894988,4.0,0.0,0.5,0.0,1.0,0.0217391304347826,0.0017889087656529,1.0,,1.0,,0.6666666666666666,0.5773502691896258,0.5,,0.5,0.0,0.0217391304347826,0.1474419561548971
62,11.0,4.545454545454546,1.8090680674665816,0.0909090909090909,0.1805761226334442,81.77142857142856,64.86689920325233,0.5,0.0642824346533224,10.0,0.062111801242236,0.0442477876106194,1.4285714285714286,0.5345224838248488,1.1111111111111112,0.3333333333333333,3.809523809523809,1.9395630337539336,0.1328613305114197,0.1300892807515223,0.2201704545454545,0.1452712551436887,0.0062111801242236,0.0439594401481089
66,11.0,3.727272727272727,0.904534033733291,0.0909090909090909,0.1904604318786891,42.8,15.834813965858055,0.5,0.0642824346533224,10.0,0.6666666666666666,0.0628930817610062,2.0,1.0,1.4285714285714286,0.7867957924694432,2.952380952380953,1.3219754338182867,0.2027194882470373,0.100554838041136,0.2897727272727273,0.104667357288785,0.0666666666666666,0.2158769933058661
68,11.0,3.727272727272727,0.904534033733291,0.0909090909090909,0.1904604318786891,42.8,15.834813965858055,0.5,0.0642824346533224,10.0,0.5,0.0628930817610062,2.0,1.0,1.4285714285714286,0.5345224838248488,2.952380952380953,1.3219754338182867,0.2027194882470373,0.100554838041136,0.2897727272727273,0.104667357288785,0.05,0.1875280777766632
69,29.0,5.931034482758621,1.7714206260746652,0.0344827586206896,0.0926817213793125,454.5968253968255,417.8386611206954,0.5,0.0243829924547085,28.0,0.3636363636363636,0.1555555555555555,3.111111111111111,1.763834207376394,1.4736842105263157,0.8411910241920599,5.052631578947368,2.073825421702427,0.1082555130208761,0.0908364627685598,0.1326778017241379,0.1187591446353998,0.0129870129870129,0.0303813151778479
