dataset,best_node.mean.relative,best_node.sd.relative,elite_nn.mean.relative,elite_nn.sd.relative,linear_discr.mean.relative,linear_discr.sd.relative,naive_bayes.mean.relative,naive_bayes.sd.relative,one_nn.mean.relative,one_nn.sd.relative,random_node.mean.relative,random_node.sd.relative,worst_node.mean.relative,worst_node.sd.relative
130,3.0,7.0,4.5,3.5,7.0,5.0,6.0,6.0,4.5,3.5,1.5,1.5,1.5,1.5
131,5.0,6.0,2.0,4.0,3.0,7.0,6.5,1.5,6.5,1.5,1.0,3.0,4.0,5.0
132,6.0,7.0,2.0,4.0,7.0,6.0,1.0,3.0,5.0,5.0,3.5,1.5,3.5,1.5
133,5.0,4.0,4.0,6.0,7.0,1.0,6.0,5.0,3.0,7.0,1.5,2.5,1.5,2.5
134,2.0,3.0,6.5,7.0,4.0,4.0,6.5,5.0,5.0,6.0,3.0,2.0,1.0,1.0
135,5.5,2.5,4.0,4.0,5.5,2.5,3.0,7.0,7.0,1.0,2.0,5.0,1.0,6.0
136,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
137,7.0,4.0,5.5,6.5,4.0,5.0,1.0,3.0,5.5,6.5,2.5,1.5,2.5,1.5
138,6.0,4.0,6.0,4.0,3.0,6.0,4.0,7.0,6.0,4.0,1.5,1.5,1.5,1.5
139,5.0,6.0,2.0,7.0,4.0,3.0,6.0,2.0,3.0,5.0,1.0,1.0,7.0,4.0
140,6.0,6.0,2.0,2.0,4.5,3.0,4.5,1.0,3.0,5.0,7.0,4.0,1.0,7.0
141,5.5,3.5,1.0,6.0,2.0,1.0,7.0,7.0,4.0,2.0,5.5,3.5,3.0,5.0
142,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
143,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0
144,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
145,4.5,3.5,7.0,6.0,3.0,2.0,1.0,5.0,6.0,7.0,4.5,3.5,2.0,1.0
146,6.0,2.0,1.0,4.0,7.0,5.0,4.0,6.0,5.0,7.0,2.0,1.0,3.0,3.0
148,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
149,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
150,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
151,6.0,2.0,6.0,2.0,3.0,6.0,6.0,2.0,4.0,7.0,1.5,4.5,1.5,4.5
152,6.5,3.5,3.0,6.0,5.0,5.0,1.0,2.0,4.0,7.0,6.5,3.5,2.0,1.0
153,4.0,2.0,5.0,5.0,1.0,7.0,6.0,4.0,7.0,3.0,2.0,1.0,3.0,6.0
154,5.0,3.0,4.0,5.0,7.0,2.0,6.0,7.0,3.0,6.0,1.0,1.0,2.0,4.0
155,6.0,5.0,4.0,7.0,7.0,3.0,5.0,4.0,3.0,6.0,1.5,1.5,1.5,1.5
156,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
158,3.0,1.5,5.0,6.0,7.0,5.0,6.0,4.0,1.0,7.0,4.0,3.0,2.0,1.5
159,5.0,3.0,2.0,7.0,7.0,5.0,6.0,4.0,1.0,6.0,4.0,1.0,3.0,2.0
160,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
161,6.0,3.0,1.0,7.0,4.0,5.0,3.0,1.0,2.0,6.0,6.0,3.0,6.0,3.0
162,7.0,5.0,1.0,7.0,6.0,4.0,5.0,3.0,2.0,6.0,3.0,1.0,4.0,2.0
163,6.0,3.0,7.0,1.0,5.0,5.0,4.0,6.0,3.0,7.0,1.0,4.0,2.0,2.0
164,6.0,2.0,4.0,5.0,3.0,6.0,1.0,7.0,2.0,4.0,6.0,2.0,6.0,2.0
165,6.5,1.5,2.0,4.0,5.0,6.0,4.0,5.0,1.0,3.0,6.5,1.5,3.0,7.0
