dataset,best_node.mean,best_node.sd,elite_nn.mean,elite_nn.sd,linear_discr.mean,linear_discr.sd,naive_bayes.mean,naive_bayes.sd,one_nn.mean,one_nn.sd,random_node.mean,random_node.sd,worst_node.mean,worst_node.sd
265,0.686,0.0800277729569206,0.7060000000000001,0.0516827931821714,0.6359999999999999,0.0631048510197292,0.6140000000000001,0.0632806798671162,0.724,0.0556177429723045,0.6679999999999999,0.0706792441637257,0.5340000000000001,0.0283627298482435
266,0.71,0.0454606056566194,0.71,0.0559761854124888,0.6199999999999999,0.0603692342542494,0.6559999999999999,0.0651835016617616,0.628,0.074951836386961,0.526,0.0400555170287994,0.5760000000000001,0.0350238014308365
267,0.698,0.0911409165340499,0.684,0.0722956891292051,0.6679999999999999,0.0619677335393186,0.63,0.0501109879279096,0.8700000000000001,0.0674948557710552,0.604,0.0665331997326647,0.5059999999999999,0.0432563418600222
268,0.6100000000000001,0.0473755680118396,0.712,0.0667998669326685,0.6359999999999999,0.053166405433005,0.648,0.0731512891965077,0.5500000000000002,0.0355902608401043,0.5640000000000001,0.0084327404271156,0.5580000000000002,0.0147572957474524
269,0.716,0.0283627298482435,0.7140000000000001,0.0386436713231718,0.6420000000000001,0.0373571352696583,0.657,0.0490011337737313,0.742,0.0418462795372672,0.5600000000000002,1.1702778228589004e-16,0.553,0.0156702123647242
270,0.704,0.040879225911349,0.765,0.0460072458061408,0.6609999999999999,0.0354181372243719,0.65,0.0498887651569858,0.53,0.0579271573232758,0.546,0.0177638834592989,0.5650000000000001,0.0052704627669472
271,0.6769999999999999,0.0686456278449124,0.7070000000000001,0.0333499958354153,0.6399999999999999,0.0362092683040007,0.624,0.0389301368550838,0.6220000000000001,0.0482585628556102,0.538,0.0278088714861522,0.552,0.0122927259430571
272,0.709,0.0347850542618521,0.7299999999999999,0.0413655788199695,0.655,0.0587367006223536,0.6849999999999998,0.0485912657903775,0.5449999999999999,0.0604152298679728,0.5600000000000002,1.1702778228589004e-16,0.5449999999999999,0.0190029237516523
273,0.75,0.135400640077266,0.75,0.097182531580755,0.68,0.1932183566158592,0.6900000000000002,0.1728840330651992,0.6199999999999999,0.1135292424395093,0.52,0.1032795558988644,0.49,0.1197218999737864
274,0.78,0.1316561177208766,0.6599999999999999,0.171269767715535,0.5700000000000001,0.1159501808728405,0.61,0.1728840330651992,0.5,0.1699673171197595,0.54,0.0516397779494322,0.53,0.1418136492412176
275,0.63,0.1766981104093143,0.6199999999999999,0.1032795558988644,0.71,0.1791957340762081,0.7,0.1763834207376393,0.6,0.2054804667656325,0.4599999999999999,0.1429840705968481,0.45,0.1080123449734643
276,0.68,0.1229272594305718,0.74,0.107496769977314,0.43,0.105934990547138,0.4700000000000001,0.1567021236472421,0.54,0.1264911064067351,0.57,0.0948683298050513,0.4,0.1333333333333333
277,0.596,0.0638052592746954,0.632,0.070047602861673,0.624,0.1150072461485217,0.624,0.1150072461485217,0.6719999999999999,0.0526624470883506,0.456,0.0868203765125317,0.4960000000000001,0.068507907086214
278,0.6679999999999999,0.0755424825291482,0.7,0.0889444270941755,0.5920000000000002,0.0590291829898097,0.652,0.0731512891965077,0.5879999999999999,0.094375137968994,0.556,0.0126491106406735,0.5440000000000002,0.050596442562694
279,0.752,0.0919903376568551,0.78,0.090921211313239,0.5879999999999999,0.1132156251485534,0.688,0.0939030232621813,0.62,0.1037089945740269,0.5440000000000002,0.0571936282387392,0.54,0.0432049379893857
280,0.736,0.0804432166879912,0.692,0.1084025419956151,0.592,0.1029347150166335,0.6239999999999999,0.1018931902642282,0.532,0.0885437744847146,0.5,0.0711805216802087,0.5200000000000001,0.0565685424949238
281,0.65,0.0755718936583642,0.7459999999999999,0.0327278338896895,0.6559999999999999,0.0678560567999971,0.656,0.0782020175926142,0.784,0.0741170245849989,0.558,0.019888578520235,0.546,0.0432563418600222
282,0.7460000000000001,0.0618600571181975,0.752,0.0619677335393186,0.6260000000000001,0.0452646538580478,0.6859999999999999,0.0462361090250658,0.53,0.0316227766016837,0.526,0.0742667863553793,0.548,0.0269979423084221
