dataset,cohesiveness.mean,cohesiveness.sd,conceptvar.mean,conceptvar.sd,impconceptvar.mean,impconceptvar.sd,wg_dist.mean,wg_dist.sd
94,34.05555555555556,1.4764717068387938,0.4405573355775813,0.1594114795674769,15.5,5.092973618789925,0.4236619623290759,0.0250707683066596
95,22.20833333333333,1.2240208128764027,0.425855591600478,0.1457103229170991,10.385416666666666,2.8736506238235395,0.4340062676566443,0.0234567185541023
96,14.34375,0.9327162898863484,0.3147744918194657,0.1370761189804019,6.828125,1.251511183304202,0.4460654477157738,0.0215169909826865
97,14.128205128205128,0.1265924208854583,0.4202856054429701,0.1954650738535416,6.538461538461538,2.065170489281108,0.2284090359015767,0.0766372898238499
98,11.97222222222222,0.6261497361362472,0.4129712172720385,0.20304893414985,5.361111111111111,1.9941382353255503,0.5999895952074243,0.0475477421883983
99,22.444444444444443,1.5667216052698725,0.380277726183466,0.2062661735279923,9.333333333333334,4.120542833103015,0.8221713421532502,0.0449276467219308
100,9.194444444444445,0.2323106841457232,0.5119384113732692,0.0975414383208968,4.708333333333333,0.5916079783099616,0.9291848487974044,0.0469983780868783
101,19.511904761904763,0.9546937654716456,0.4922703990979348,0.0516379421683035,10.035714285714286,1.100957771187107,0.4327776942179513,0.0257016281892646
102,112.59666666666666,20.33969023572318,0.482692994051051,0.0918439335897352,54.76416666666667,14.063888628329495,0.573189083124546,0.2667653868487066
103,21.55,1.7764043022065554,0.4772345623455674,0.0803750218222607,10.92,1.3329038423912,0.5143847352994634,0.0364782683884032
104,21.55555555555556,0.7068835430495913,0.4876491566251745,0.096908114740912,10.733333333333333,1.7551871177119034,0.4577760932258851,0.0859150350158197
105,20.21296296296296,2.1557335831733115,0.462152114797766,0.163795091365969,9.22222222222222,3.473507099795111,0.7554090899490817,0.0702936837383094
106,38.552083333333336,3.69706794683419,0.443407788500728,0.1151278687335653,18.61458333333333,2.893940281152532,0.625053097265701,0.0290530092334748
107,32.833333333333336,1.3815831244715469,0.482866241082408,0.1133653099639814,16.09375,2.392765961678748,0.5605215969062977,0.029569513000353
108,10.09375,0.7718588789618592,0.508656556449337,0.1577179851262768,4.953125,1.3717887721817346,0.812981680464368,0.0467506961275513
109,20.640625,1.96642199850146,0.4959216616379288,0.0524903429530341,10.38671875,1.1638398470082243,0.958600772110058,0.0505665478314931
110,10.8125,0.4534811586938564,0.4132052513518097,0.1318099065752409,5.125,1.4027622519457354,0.614101231867684,0.0516183860191559
111,8.625,0.0,0.4909829725886828,0.1586259836817787,4.2125,0.6098812410667573,0.9559812883386564,0.050834280242631
112,24.441666666666663,2.5471680297442907,0.494985495381157,0.1077060724942483,11.95,2.765863337187866,0.5610177782780473,0.037621622268245
